City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Velikooktyabrskiy,RU,57.4333,33.8159,31.3,85,95,6.17,overcast clouds
111,Kudahuvadhoo,MV,2.6708,72.8944,82.15,78,53,18.61,broken clouds
112,Luena,AO,-11.7833,19.9167,61.21,96,74,4.74,broken clouds
113,Port Blair,IN,11.6667,92.75,78.84,94,75,8.05,drizzle
114,Barrow,US,71.2906,-156.7887,1.42,71,90,11.5,overcast clouds
115,Ndele,CF,8.4109,20.6473,75.51,35,42,3.4,scattered clouds
116,Acarau,BR,-2.8856,-40.12,80.87,77,9,16.53,clear sky
117,San Policarpo,PH,12.1791,125.5072,82.11,82,92,10.78,overcast clouds
118,Pangai,TO,-19.8,-174.35,82.51,54,40,19.57,scattered clouds
119,Atuona,PF,-9.8,-139.0333,77.92,78,14,13.06,few clouds
120,Hlobyne,UA,49.3878,33.2596,26.76,66,2,4.41,clear sky
121,Evensk,RU,61.95,159.2333,26.94,81,100,40.73,light snow
122,Lewiston,US,44.1003,-70.2148,38.32,73,1,9.22,clear sky
123,Sorsk,RU,54.0033,90.2467,13.89,90,100,2.82,overcast clouds
124,High Wycombe,GB,51.6291,-0.7493,49.68,94,89,7.49,overcast clouds
125,Bilibino,RU,68.0546,166.4372,-0.65,99,27,4.03,scattered clouds
126,Loanda,AO,-8.8368,13.2343,76.98,86,99,7.14,moderate rain
127,Cherskiy,RU,68.75,161.3,3.67,89,40,4.0,scattered clouds
128,Thompson,CA,55.7435,-97.8558,23.16,93,90,12.66,snow
129,Mount Gambier,AU,-37.8333,140.7667,61.3,48,99,5.32,overcast clouds
130,Khakhea,BW,-24.6895,23.494,79.3,15,77,7.72,broken clouds
131,Eureka,US,40.8021,-124.1637,55.67,77,79,10.0,broken clouds
132,Lake City,US,30.1897,-82.6393,59.04,82,1,0.0,clear sky
133,Ginir,ET,7.1333,40.7,56.34,77,33,3.33,scattered clouds
134,Dalby,AU,-27.1833,151.2667,81.99,42,0,4.0,clear sky
135,Barcelos,PT,41.5388,-8.6151,54.91,75,67,5.44,broken clouds
136,Katsuura,JP,35.1333,140.3,60.19,78,100,13.65,overcast clouds
137,Guerrero Negro,MX,27.9769,-114.0611,69.69,66,0,15.19,clear sky
138,Pochutla,MX,15.7432,-96.4661,82.22,76,10,4.12,clear sky
139,Manokwari,ID,-0.8667,134.0833,82.06,71,100,2.39,light rain
140,Hithadhoo,MV,-0.6,73.0833,81.68,78,20,16.87,few clouds
141,Caluquembe,AO,-13.7833,14.6833,63.55,87,100,2.48,light rain
142,Thinadhoo,MV,0.5333,72.9333,82.33,73,6,18.84,clear sky
143,Khanpur,PK,28.6453,70.6567,64.85,19,1,5.95,clear sky
144,Varberg,SE,57.1056,12.2508,42.87,75,100,12.1,overcast clouds
145,Sakakah,SA,29.9697,40.2064,54.97,36,80,2.04,broken clouds
146,Masterton,NZ,-40.9597,175.6575,62.94,44,8,17.6,clear sky
147,Canandaigua,US,42.8742,-77.288,40.33,82,64,1.99,broken clouds
148,Lompoc,US,34.6391,-120.4579,73.13,85,1,11.5,fog
149,Pokrovka,KG,42.3414,78.0056,34.41,48,100,6.62,overcast clouds
150,Babstovo,RU,48.1167,132.4833,23.05,86,59,3.8,broken clouds
151,Castro,BR,-24.7911,-50.0119,67.06,69,89,3.89,overcast clouds
152,Alta Floresta,BR,-9.8756,-56.0861,72.32,96,84,3.6,broken clouds
153,Golkoy,TR,40.6875,37.6178,42.21,84,17,2.98,few clouds
154,Ihosy,MG,-22.4,46.1167,71.28,65,13,1.14,few clouds
155,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,20,5.75,few clouds
156,Lawrenceburg,US,38.0373,-84.8966,59.9,84,1,1.99,clear sky
157,Lavrentiya,RU,65.5833,-171.0,8.37,87,9,9.46,clear sky
158,Saint George,US,37.1041,-113.5841,72.07,24,1,4.61,clear sky
159,Adrar,MR,20.5022,-10.0711,77.23,27,100,8.3,overcast clouds
160,Mpika,ZM,-11.8343,31.4529,66.13,51,59,1.83,broken clouds
161,Grand Gaube,MU,-20.0064,57.6608,74.37,73,30,1.01,scattered clouds
162,Russell,US,32.3502,-85.1999,62.2,89,1,3.44,clear sky
163,Abalak,RU,58.1286,68.5944,17.49,92,100,11.63,light snow
164,Igarka,RU,67.4667,86.5833,-1.7,94,100,13.2,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,6.75,78,100,1.14,light snow
166,Kisangani,CD,0.5167,25.2,69.87,100,100,1.16,moderate rain
167,Middelburg,ZA,-25.7751,29.4648,69.6,54,69,10.16,broken clouds
168,Siyabuswa,ZA,-25.1132,29.0445,75.83,50,82,7.0,broken clouds
